MB3,21,19,19,19,12,2,2,2,2,2
TC2,12,12,12,0,4,12,12,12,12,12
RMcG,19,19,19,19,19,1,1,1,1,1
AJL,0,0,9,13,13,13,13,13,13,13
ENH,8,7,6,5,4,10,15,20,0,25
JBS,14,1,13,14,1,14,14,1,14,14
JAG2,0,18,0,18,0,18,0,18,10,18
ATN,2,3,0,3,17,17,18,17,17,6
WRO,16,16,16,16,16,16,4,0,0,0
DDM,0,0,0,0,17,17,17,17,16,16
BSA,19,19,19,1,19,1,19,1,1,1
KAF,12,12,8,11,11,11,2,11,11,11
PM3,3,0,17,17,2,17,18,3,17,6
EPS,1,14,14,14,1,14,14,14,1,13
DA4,20,15,1,1,20,1,1,20,1,20
PLW,13,11,4,13,13,10,6,11,9,10
SAD2,1,16,16,1,1,16,16,16,1,16
AJH,4,12,6,3,1,7,33,16,2,16
KSW,3,17,3,3,17,3,17,17,17,3
DSH,0,12,13,0,12,12,13,13,13,12
AWL,17,0,16,0,17,16,0,17,17,0
CDH,5,7,6,6,20,5,14,5,13,19
JML,4,5,16,17,2,8,18,14,0,15
YC,3,7,10,13,17,17,13,10,7,3
MWR,16,1,16,16,16,1,16,1,16,1
AK7,15,5,15,5,15,5,15,5,15,5
TAL,17,3,17,3,17,3,17,3,17,3
CC2,17,7,7,7,7,7,17,7,7,17
RHCM,1,1,1,1,16,16,16,16,16,16
ARR,17,3,17,3,17,3,15,3,18,4
WMY,1,1,1,1,1,17,18,19,20,21
JPD2,0,0,21,0,21,16,0,21,0,21
MTR,1,16,1,16,16,1,16,16,16,1
TJC2,15,2,15,15,3,3,15,15,2,15
AL6,1,15,15,1,13,15,1,19,19,1
RND,17,17,16,0,16,0,0,17,0,17
WR,1,1,1,1,16,16,16,16,16,16
MJP4,0,0,0,21,21,16,14,12,0,16
PRM,1,1,1,1,16,16,16,16,16,16
BR1,0,20,20,0,0,20,20,20,0,0
PL,1,1,1,1,16,16,16,16,16,16
DCH,17,3,2,6,17,18,17,3,17,0
MVB,1,16,1,1,16,16,16,1,16,16
JPH,2,18,2,18,2,18,2,18,2,18
JHH,14,13,12,11,10,10,9,8,7,6
BG5,10,7,9,12,13,8,11,6,14,10
